locus,gene_weight,gene_name,gene_product,cog,operon,link
EQU24_RS02895,0.0434795797603185,,"exosortase system-associated protein, TIGR04073 family",-,2439,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02895
EQU24_RS02970,0.0434632237307379,pqqA,pyrroloquinoline quinone precursor peptide PqqA,-,2429,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02970
EQU24_RS08400,0.0431998554443339,,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,C,1771,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08400
EQU24_RS16575,0.0431745471866783,,,-,724,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16575
EQU24_RS16835,0.0427318368149379,,flagellar hook assembly protein FlgD,N,699,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS16835
EQU24_RS08595,-0.0438805893333658,,TetR/AcrR family transcriptional regulator,K,1745,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08595
EQU24_RS07145,-0.0449609974086316,,hypothetical protein,-,1924,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07145
EQU24_RS12655,-0.0453428845792302,,barstar family protein,K,1242,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12655
EQU24_RS20335,-0.0455014814188562,,hypothetical protein,-,249,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS20335
EQU24_RS02325,-0.045519813086459,,hypothetical protein,-,2515,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS02325
EQU24_RS06885,-0.0463080163974266,,Rpn family recombination-promoting nuclease/putative transposase,S,1956,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS06885
EQU24_RS05645,-0.0477664289447399,,,-,2123,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05645
EQU24_RS12650,-0.0483271076783549,,ribonuclease T(1),F,1242,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12650
EQU24_RS09835,-0.0487500412971673,,,-,1582,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09835
EQU24_RS05635,-0.0501329118015052,,,-,2123,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05635
EQU24_RS08590,-0.0515957131988487,,efflux transporter outer membrane subunit,M,1745,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS08590
EQU24_RS05640,-0.053045520168092,,,-,2123,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05640
EQU24_RS10835,-0.054954874701931,,hypothetical protein,-,1465,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10835
EQU24_RS12635,-0.0597209531763021,,hypothetical protein,S,1244,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12635
EQU24_RS07375,-0.0603253928714163,,,-,1895,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS07375
EQU24_RS05930,-0.0622327763731411,,sigma-54-dependent Fis family transcriptional regulator,K,2082,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS05930
EQU24_RS12640,-0.0669177732689118,,NAD(P)/FAD-dependent oxidoreductase,C,1243,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12640
EQU24_RS12645,-0.0749371994380439,,nitrate reductase,C,1243,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS12645
EQU24_RS10830,-0.0784698109313171,,efflux transporter outer membrane subunit,M,1466,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10830
EQU24_RS09195,-0.0794430991057437,,efflux RND transporter periplasmic adaptor subunit,M,1667,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09195
EQU24_RS09205,-0.0814836266548205,,TolC family protein,M,1667,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09205
EQU24_RS09190,-0.0832320128876039,,efflux RND transporter permease subunit,V,1667,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09190
EQU24_RS10820,-0.0849495158157832,,efflux RND transporter periplasmic adaptor subunit,M,1466,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10820
EQU24_RS09210,-0.0858034859387961,,TetR/AcrR family transcriptional regulator,K,1667,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS09210
EQU24_RS10825,-0.0907825918592113,,multidrug efflux RND transporter permease subunit,V,1466,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS10825
