,gene_name,start,end_coord,strand,gene_product,COG_id,cog,uniprot,operon,tu_name,ncbi_protein,gene_name_extra,specific_gos_n,specific_gos
EQU24_RS00350,,76033,76867,1,methyltransferase domain-containing protein,S,Function unknown,UPI0015864B24,2782,EQU24_RS00355 // EQU24_RS00350,WP_175421647.1,||None,"methyltransferase activity
methylation",['methyltransferase activity' 'methylation']
EQU24_RS00355,,76863,78102,1,glycosyltransferase,M,Cell wall/membrane/envelope biogenesis,A0A4P9UIM1,2782,EQU24_RS00355 // EQU24_RS00350,WP_017841413.1,||None,transferase activity,['transferase activity']
EQU24_RS00360,,78206,78953,1,glycosyltransferase,M,Cell wall/membrane/envelope biogenesis,UPI001586640E,2781,EQU24_RS00365 // EQU24_RS00360,WP_175421648.1,||None,"glycolipid biosynthetic process
glycolipid metabolic process
liposaccharide metabolic process
carbohydrate derivative biosynthetic process
hexosyltransferase activity","['glycolipid biosynthetic process' 'glycolipid metabolic process'
 'liposaccharide metabolic process'
 'carbohydrate derivative biosynthetic process'
 'hexosyltransferase activity']"
EQU24_RS00365,,78936,79881,1,glycosyltransferase family 2 protein,S,Function unknown,G4STU4,2781,EQU24_RS00365 // EQU24_RS00360,WP_014146584.1,||None,"integral component of membrane
transferase activity",['integral component of membrane' 'transferase activity']
EQU24_RS00370,,80036,80228,1,hypothetical protein,X,No COG annotation,UPI0009FBCF9D,2780,EQU24_RS00370,WP_083877740.1,||None,"nitrogen fixation
integral component of membrane
hydrolase activity",['nitrogen fixation' 'integral component of membrane' 'hydrolase activity']
EQU24_RS00375,,80273,81347,1,glycosyltransferase,M,Cell wall/membrane/envelope biogenesis,UPI00034AF1BF,2779,EQU24_RS00380 // EQU24_RS00375,WP_017841411.1,||None,glycosyltransferase activity,['glycosyltransferase activity']
EQU24_RS00380,,81343,82288,1,SDR family oxidoreductase,M,Cell wall/membrane/envelope biogenesis,A0A4P9UIC3,2779,EQU24_RS00380 // EQU24_RS00375,WP_017841410.1,||None,"UDP-glucose 4-epimerase activity
",['UDP-glucose 4-epimerase activity' '']
EQU24_RS00385,,82311,82518,-1,hypothetical protein,X,No COG annotation,,2778,EQU24_RS00385,,||,integral component of membrane,['integral component of membrane']
EQU24_RS00390,,82907,83930,1,glycosyltransferase family 4 protein,M,Cell wall/membrane/envelope biogenesis,UPI000344E98D,2777,EQU24_RS00390,WP_017841409.1,||None,"phospho-N-acetylmuramoyl-pentapeptide-transferase activity
integral component of membrane","['phospho-N-acetylmuramoyl-pentapeptide-transferase activity'
 'integral component of membrane']"
EQU24_RS00395,,83997,85554,1,ATP-binding protein,S,Function unknown,A0A4V1IJC1,2776,EQU24_RS00395,WP_017841408.1,||None,,[]
EQU24_RS00400,,85681,87679,1,polysaccharide biosynthesis protein,G,Carbohydrate transport and metabolism,A0A4P9UN33,2775,EQU24_RS00400,WP_017841407.1,||None,"positive regulation of single-species biofilm formation
positive regulation of cellular process
regulation of single-species biofilm formation
integral component of membrane
positive regulation of biological process","['positive regulation of single-species biofilm formation'
 'positive regulation of cellular process'
 'regulation of single-species biofilm formation'
 'integral component of membrane'
 'positive regulation of biological process']"
EQU24_RS00405,,88239,89145,1,LysR family transcriptional regulator,K,Transcription,A0A4P9UIU5,2774,EQU24_RS00405,WP_017841406.1,||None,"regulation of transcription, DNA-templated
DNA binding
DNA-binding transcription factor activity","['regulation of transcription, DNA-templated' 'DNA binding'
 'DNA-binding transcription factor activity']"
EQU24_RS00410,,89041,89719,1,methyltransferase domain-containing protein,H,Coenzyme transport and metabolism,,2773,EQU24_RS00410,WP_017841405.1,||None,"methyltransferase activity
methylation",['methyltransferase activity' 'methylation']
EQU24_RS00415,,89828,90221,1,rhodanese-like domain-containing protein,P,Inorganic ion transport and metabolism,A0A4P9UIE0,2772,EQU24_RS00415,WP_017841404.1,||None,transferase activity,['transferase activity']
EQU24_RS00420,typA,90322,92143,1,translational GTPase TypA,T,Signal transduction mechanisms,A0A4P9UK82,2771,typA,WP_017841403.1,typA||typA,"GTPase activity
ribosome assembly
ribosomal large subunit assembly
ribonucleoprotein complex assembly
GTP binding","['GTPase activity' 'ribosome assembly' 'ribosomal large subunit assembly'
 'ribonucleoprotein complex assembly' 'GTP binding']"
EQU24_RS00425,hisB,92433,93027,1,imidazoleglycerol-phosphate dehydratase HisB,E,Amino acid transport and metabolism,A0A4P9UL89,2770,EQU24_RS00450 // hisI // hisF // hisA // hisH // hisB,WP_017841402.1,hisB||hisB,"histidinol-phosphatase activity
imidazoleglycerol-phosphate dehydratase activity
dephosphorylation
carboxylic acid metabolic process
carboxylic acid biosynthetic process","['histidinol-phosphatase activity'
 'imidazoleglycerol-phosphate dehydratase activity' 'dephosphorylation'
 'carboxylic acid metabolic process'
 'carboxylic acid biosynthetic process']"
EQU24_RS00430,hisH,93040,93691,1,imidazole glycerol phosphate synthase subunit HisH,E,Amino acid transport and metabolism,A0A4P9UID3,2770,EQU24_RS00450 // hisI // hisF // hisA // hisH // hisB,WP_026130250.1,hisH||hisH,"glutamine metabolic process
carboxylic acid metabolic process
imidazoleglycerol-phosphate synthase activity
histidine biosynthetic process
alpha-amino acid biosynthetic process","['glutamine metabolic process' 'carboxylic acid metabolic process'
 'imidazoleglycerol-phosphate synthase activity'
 'histidine biosynthetic process' 'alpha-amino acid biosynthetic process']"
EQU24_RS00435,hisA,93739,94477,1,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,E,Amino acid transport and metabolism,A0A4P9UKN2,2770,EQU24_RS00450 // hisI // hisF // hisA // hisH // hisB,WP_017841400.1,hisA||hisA,"cellular biogenic amine biosynthetic process
tryptophan biosynthetic process
indolalkylamine biosynthetic process
alpha-amino acid biosynthetic process
carboxylic acid metabolic process","['cellular biogenic amine biosynthetic process'
 'tryptophan biosynthetic process' 'indolalkylamine biosynthetic process'
 'alpha-amino acid biosynthetic process'
 'carboxylic acid metabolic process']"
EQU24_RS00440,hisF,94480,95257,1,imidazole glycerol phosphate synthase subunit HisF,E,Amino acid transport and metabolism,A0A4P9UII6,2770,EQU24_RS00450 // hisI // hisF // hisA // hisH // hisB,WP_017841399.1,hisF||hisF,"cellular biogenic amine biosynthetic process
indolalkylamine biosynthetic process
tryptophan biosynthetic process
aromatic amino acid family biosynthetic process
carboxylic acid metabolic process","['cellular biogenic amine biosynthetic process'
 'indolalkylamine biosynthetic process' 'tryptophan biosynthetic process'
 'aromatic amino acid family biosynthetic process'
 'carboxylic acid metabolic process']"
EQU24_RS00445,hisI,95253,95643,1,phosphoribosyl-AMP cyclohydrolase,E,Amino acid transport and metabolism,A0A4V1IJC2,2770,EQU24_RS00450 // hisI // hisF // hisA // hisH // hisB,WP_017841398.1,hisI||hisI,"zinc ion binding
phosphoribosyl-AMP cyclohydrolase activity
carboxylic acid biosynthetic process
carboxylic acid metabolic process
histidine biosynthetic process","['zinc ion binding' 'phosphoribosyl-AMP cyclohydrolase activity'
 'carboxylic acid biosynthetic process'
 'carboxylic acid metabolic process' 'histidine biosynthetic process']"
EQU24_RS00450,,95639,95957,1,phosphoribosyl-ATP diphosphatase,E,Amino acid transport and metabolism,A0A4P9UN41,2770,EQU24_RS00450 // hisI // hisF // hisA // hisH // hisB,WP_017841397.1,||None,"phosphoribosyl-ATP diphosphatase activity
carboxylic acid biosynthetic process
histidine biosynthetic process
alpha-amino acid biosynthetic process
magnesium ion binding","['phosphoribosyl-ATP diphosphatase activity'
 'carboxylic acid biosynthetic process' 'histidine biosynthetic process'
 'alpha-amino acid biosynthetic process' 'magnesium ion binding']"
EQU24_RS00455,tatA,96158,96371,1,twin-arginine translocase TatA/TatE family subunit,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UIV2,2769,tatC // tatB // tatA,WP_017841396.1,tatA||tatA,"amide transport
peptide transport
peptide secretion
TAT protein transport complex
integral component of plasma membrane","['amide transport' 'peptide transport' 'peptide secretion'
 'TAT protein transport complex' 'integral component of plasma membrane']"
EQU24_RS00460,tatB,96374,96680,1,twin-arginine translocase subunit TatB,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UIN9,2769,tatC // tatB // tatA,WP_017841395.1,tatB||tatB,"peptide transport
amide transport
organic substance transport
nitrogen compound transport
protein transport by the Tat complex","['peptide transport' 'amide transport' 'organic substance transport'
 'nitrogen compound transport' 'protein transport by the Tat complex']"
EQU24_RS00465,tatC,96685,97474,1,twin-arginine translocase subunit TatC,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UIE8,2769,tatC // tatB // tatA,WP_017841394.1,tatC||tatC,"peptide transport
amide transport
peptide transmembrane transporter activity
proton motive force dependent protein transmembrane transporter activity
integral component of plasma membrane","['peptide transport' 'amide transport'
 'peptide transmembrane transporter activity'
 'proton motive force dependent protein transmembrane transporter activity'
 'integral component of plasma membrane']"
EQU24_RS00470,,97499,98117,-1,GDSL family lipase,E,Amino acid transport and metabolism,A0A4P9UK91,2768,EQU24_RS00470,WP_017841393.1,||None,,[]
EQU24_RS00475,,98135,98867,1,pteridine reductase,I,Lipid transport and metabolism,A0A4P9UL98,2767,EQU24_RS00475,WP_051056282.1,||None,,[]
